"resp_np","update_np"
"http://purl.org/np/RAD2d2pLO6hCu7pWsODSNHNxYGjKkyFJUlN1reDPn8G-0","http://purl.org/np/RAY2Gg01ffDVLprAakuMqpizAjksasRtTal_UsCf94LL8"
"http://purl.org/np/RAH8v3PKwnXbMjc1g0FMnRYKylKtiEEKgR-3zrnj2pDS8","http://purl.org/np/RAlKYv_sE8qwiSqsRdcr7KrkU1bsqlqiFmhDPtPBwpLrM"
"http://purl.org/np/RA062HUn_Zu1nVB61cxpeesJ4DyUCVIK9HEgS5BJVkE-Y","http://purl.org/np/RAFQovt9yQD7nZ2tdZ9_Uhpb7CsfT3k64pK7dh63xd-50"
"http://purl.org/np/RAaPvL2hjBzAerIZPVV7afEBD2y2G0BZLiz9dbdl45ouo","http://purl.org/np/RAodU4AmRjfzyjwtJK3luO0iyRJJPUBjkijKWdlMHvack"
"http://purl.org/np/RAQImRBJTpV_MmzEvzJQjBnMH4gO78ss8mP8UEHXj72BU","http://purl.org/np/RAodU4AmRjfzyjwtJK3luO0iyRJJPUBjkijKWdlMHvack"
"http://purl.org/np/RAcYNDJKPFqtoBIiEcdg8yShvLzqV-vSxU7-npALtkJZg","http://purl.org/np/RAPVWYH0x-xyDa9PfBcGUFly3m1FNEO43KG9s0uH-y6yo"
"http://purl.org/np/RAkz3162Z4w0cRK6uQREUzdU3H6SKjtR7LKA0D-vRDKlw","http://purl.org/np/RANAxL2OxGmP9VAN6cUi_0KEK0rJb9bPn4l1A5HquXKrI"
"http://purl.org/np/RATka2stDVfq6OTrm5zocL9eZUPETavRe6XhoVh3_Hx0I","http://purl.org/np/RAxLYvJ1JrRf2JAowYGbGJleQPmqtpXnXsIvse7GmLeT8"
"http://purl.org/np/RAhOoiILMw1nbwX3H6m6Bz6IjnjKLn9JeP0L_-z9vZPw0","http://purl.org/np/RAtsHwzNs36rGrLnoSbGrPD351Qw033Acoe4zmdXhsYlM"
"http://purl.org/np/RAtBvXr7_qxO0dwA5Nq2hwWVCG7fJz1oI-dB7ssjzZ570","http://purl.org/np/RAtsHwzNs36rGrLnoSbGrPD351Qw033Acoe4zmdXhsYlM"
"http://purl.org/np/RA2kBfTdI1zfinySdO_KecrMqS5x3kr5n87r5inNba_Bo","http://purl.org/np/RA9UaQM3wVa9xRAmL9CWEXyhDbcgvHlPoGTw4pnKaHYL8"
"http://purl.org/np/RAxrrwY-FEIMbEiJRhCuq0_PLGsleJBKvw5GIHQysg6xU","http://purl.org/np/RA9UaQM3wVa9xRAmL9CWEXyhDbcgvHlPoGTw4pnKaHYL8"
"http://purl.org/np/RAMpzb1Ec_HZZrVbr4RZAOemRxq80XUb8uZ00pDZ4R0uw","http://purl.org/np/RAXecDWH8gZVp7FZRP1m_Fg6EXH_uoZGhKN9blfN9lrfI"
"http://purl.org/np/RAyltU3D2Z571K86qce2j1neDLsp6HeDAhWyPmDuNDvEc","http://purl.org/np/RAaOAF90U6YxAvnchfj0dRtT5HRz320Pz202aGap-VfuI"
"http://purl.org/np/RACweRIgGmEvbyNLBHzPeko402hlFC36CHJQ7zoxVEPUA","http://purl.org/np/RACS5sSm45MGbuJrztnPrpdu1AuLiKxDni-6JcKzN5ZtM"
"http://purl.org/np/RAVfl0p-An2P-B-98rLtAmhVKafpT8S9W2GnF4IMrXPA8","http://purl.org/np/RACS5sSm45MGbuJrztnPrpdu1AuLiKxDni-6JcKzN5ZtM"
"http://purl.org/np/RAhaeiRX0Aei9lMiAt1fpTgDxBh1HyNa9T2JdkTKk0RzQ","http://purl.org/np/RAjD4-Q2kO_cIUE52rde2uWbV3RtuCR90geXW90il2YX4"
"http://purl.org/np/RAOGswI1P_xI18zJy8BEeqzfJAj9IRrKN_9DkS8asc90g","http://purl.org/np/RAuLZtfsHn3NGe0Md8lLNvYmBseEtW9v1rVUVfJCpJYUE"
