"class_np","class_name","author","resp_np","resp_text","agreement","addressed"
"http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0","expression of genes IRX3 AND IRX5","https://orcid.org/0000-0003-2432-4125",,,,
"http://purl.org/np/RANAxL2OxGmP9VAN6cUi_0KEK0rJb9bPn4l1A5HquXKrI","regulatory element within the first intron of FTO","https://orcid.org/0000-0003-2432-4125",,,,
"http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0","expression of genes IRX3 AND IRX5","https://orcid.org/0000-0003-2432-4125",,,,
"http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0","expression of genes IRX3 AND IRX5","https://orcid.org/0000-0003-2432-4125",,,,
"http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0","expression of genes IRX3 AND IRX5","https://orcid.org/0000-0003-2432-4125",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality","https://orcid.org/0000-0002-7114-6459",,,,
"http://purl.org/np/RAFQovt9yQD7nZ2tdZ9_Uhpb7CsfT3k64pK7dh63xd-50","Automated Discovery","https://orcid.org/0000-0003-4727-9435",,,,
"http://purl.org/np/RAodU4AmRjfzyjwtJK3luO0iyRJJPUBjkijKWdlMHvack","adherence to the FAIR Guiding Principles","https://orcid.org/0000-0003-4727-9435",,,,
