"decision_np","update_np"
"http://purl.org/np/RAJY7wiISIWV3ND9kRMQyzE5uyoq8GYd7rkZNL7NAdab8","http://purl.org/np/RAgoIxfXPqNDY8vnK2EmBQDAFwuFIDJtfaMplTvPMq3pg"
"http://purl.org/np/RAWJbD5e0bP_cw7FsWpvDNyFgaa7mtTMgmJ-Sv0rfUOMQ","http://purl.org/np/RA1FoHM9lwJ1XAV1eB871XcMAKfod73G_i4YtgoLpJVH0"
"http://purl.org/np/RAKNnwB9sUaOdqUz3vk6FvIY8ckt5NsEn3scZb0MLux00","http://purl.org/np/RAeRSya2qIYymsBxiqOZP_oaQpHXUVXiydKvPCFM-7DDQ"
"http://purl.org/np/RAZRc30QS-6ito2P4TPeWvn13hLC-U_vTuhS1FXTI1MbQ","http://purl.org/np/RAMgThXW6xx8QiPmW9VhVuxWCN2ZWe-pmxDcFfdx_A7z0"
"http://purl.org/np/RAty4B0ZyO3gMW02Tbo41gZHmioDmot2hK_F51HKRTjkw","http://purl.org/np/RA12lVwEtmddK9OwDkZQZlgJaOD2-0NXtAtO_jDaG-3VQ"
"http://purl.org/np/RAEpiQfxUee5E5o4qL8qPFbrzPFPWQS59YcsANHsJtw6w","http://purl.org/np/RAokVMmiZSbRh01diNeJLum4p13kUd-NZjGFuVtxVz4Bs"
"http://purl.org/np/RAXrzGYzSlSSohJfZeEy_tAe0WB3yEDr1_8rj00N7egtA","http://purl.org/np/RAyg4UgIVovBGia-hk4qEuRzOq14fcOlYAclC6YGQaVYU"
"http://purl.org/np/RArHWhbuGlagtVcVZytxkFwWcsnPSeZYOpz5gnPINruME","http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc"
"http://purl.org/np/RAmSh6ro3wlCZDHVmBGqEBYfY-WkXR7W2FYcLhRuirYBE","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAmwI--UvGZeNOqgg8JO0i8wujBr7DPGOgB2zFkpN-zJI","http://purl.org/np/RAoo8EvTgfkxJw5SgZXbJvRl5nQG7ygeGaHp8Zud1U4Zw"
"http://purl.org/np/RA8BLtUFY9NoS6sQdDptZ-_77GnW11EqY0PCBzmp-uQys","http://purl.org/np/RAxBBJ2WkonyQNlXfdCAOaCi64J_xqgVGeaLjVQow9M88"
"http://purl.org/np/RAgM9cY7OGMXgyPYL4Aimc9CKIsMVaxhHmZdAKD-AdMQA","http://purl.org/np/RABzhulhaPhOzo9MxWxl230N72-azdlpMNwu_HtDqsuUc"
"http://purl.org/np/RAMNj6VHDqFRtvXZLgdQNQzrf52BWZhFPq0DtFt1C_PzY","http://purl.org/np/RAXVRaFjWDlX5cZcVRXETaEIAx6QAyLK5JCrzDP-yDp9U"
"http://purl.org/np/RAyt9RZbScNQ76A_3keOT9cS1sv5vk9jN1BbJ4b8FkUsg","http://purl.org/np/RAbWbJCYlLhlYBDn9PVxdJP_WUbbi058aRcK-3sOJsRwY"
"http://purl.org/np/RAYDQy2RDgmskhPV-B2-BLSBDN84G1ru-TJK_RwBHyQEw","http://purl.org/np/RAn15vsPJEVdJvjNKtBPo_oadtjeP9oc3Si-69FiJ4poQ"
"http://purl.org/np/RA2-eahziacyavza3T31DfPDeQJabPiSUR-nA9IAs2rJY","http://purl.org/np/RAmG2bXxwkIzARk4Mda-lqZU0RVnkpX7hUHBIPcdLHQUU"
