"resp_np","update_np"
"http://purl.org/np/RAbTgl4Va4--Qf760bdcdtRz6sHysMsAE0v7dStDhDB-w","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAz3TCPhy_mhUtC_rB92rVXbgIeR_YajTkNb7KVQD1Ny4","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAOiDCcI5c4RXamzaP9TNY8XM7L-7UQ7shm79KrlDgnH8","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAaqV5eehX-wlnotoT6iyGt-B3Dx1HFO5W3lTLLDGISR0","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAHmvzdl-80jtSyn18OgVBbeUc07anF7K93Gde6SxbIZw","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAiSvT9Iy4-poxt0VEtNBO_uhHBDiLohEIMuHrMPab9r0","http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA"
"http://purl.org/np/RAAvxdOwZmP5RB7BlUsIC6CqXDNhSiIP0r4RhJP8WHMVM","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RAbYGDE27fjI5qTckXklj4g0ym4PnZGulmF2jN0MNt4m8","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RAjz0nKHGxFbENgB2BN7AylkOKnwdVgxYIu2KX_8NMZN4","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RA-NHiWeD_b9EyigeFtA2Am2z4BbtTJNS-wYkoB-qf0-k","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RA5ff2pPMe05nBHBpv2dvCoB6wBnRkMyI6agJCAUW3p8U","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RAt0mkGH-IfogzEZ-KlBw6TwI2aI68zkrbYhxphxyddLk","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RA9PBnR9l3KHr3rfm6TrDsf27LPS2TJEGRaTGqDOc_8bo","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RAziisg_S35MBOxKYXcy23mVXs6zqWtcAuw7r9Omd1SII","http://purl.org/np/RAh1GOK4_HhqeUeJhIyV_DDCFFTY9jeeiKWgbSzooWEi4"
"http://purl.org/np/RA8Bw8rc3LhRQnXdZss4BoOy8cglUqdcuiB3nKq8hptNE","http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc"
"http://purl.org/np/RA6iSsRzRDasLnPEDR976ah7-G2Sg7rVbdkcu3pQnvbl4","http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc"
"http://purl.org/np/RABqs0voTpZjcSTTtyS6WIi3Fd4Za6uQmvBE0_w7wNWY4","http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc"
"http://purl.org/np/RAA7OnnJAKBafk4iYT3U2GQN1F0PbJ8IJfU4YtZ20f8JQ","http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc"
"http://purl.org/np/RAMJ69Peyx9r4lGvkvryD3I7rMP8Yb6FuCjyVg-ZfBV0c","http://purl.org/np/RAeRSya2qIYymsBxiqOZP_oaQpHXUVXiydKvPCFM-7DDQ"
"http://purl.org/np/RAZV7VdWWBjFEIpmzqUudlg46zzipKCJNpfkJXhEKdaIU","http://purl.org/np/RAeRSya2qIYymsBxiqOZP_oaQpHXUVXiydKvPCFM-7DDQ"
"http://purl.org/np/RAAgR5ZKIIvujTwNwwxr6-bsjF1GXk_W7Zx7qxEeLrOX0","http://purl.org/np/RAeRSya2qIYymsBxiqOZP_oaQpHXUVXiydKvPCFM-7DDQ"
