"review_np","class_np","class_name"
"http://purl.org/np/RAyMyBZ4zx7-mCtIaspsHoxrVkPIx6X_1UDT-QuftbIrA","http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","obesity with metabolic abnormality"
"http://purl.org/np/RAwnHtSSq-vTn3IKdb0YsiBTgcDKF3lzA1r7mgVUt9T20","http://purl.org/np/RA6snbuih8c4A_1jDlDPtYXKBcO5KE5jdoQUtu3V2xPY4","biodiversity data reuse"
"http://purl.org/np/RADPRZhOfgWlmq98SVMPekC0HlfZtphWID6hSulz-hOTM","http://purl.org/np/RAIwMZ0StXU9DCY1WGoJMwD2NAc30mijCb0FML8TXIB0Y","Relative size of the neocortex"
"http://purl.org/np/RAyepTH--NvwKSlgVQHY6XKK21NtNJKX7tl89q2s05Vr4","http://purl.org/np/RAlKYv_sE8qwiSqsRdcr7KrkU1bsqlqiFmhDPtPBwpLrM","Social group size"
"http://purl.org/np/RAOhIZlqbqMRIgsROJMnSPY8YgmuHZuoBuMuhBnxIViUQ","http://purl.org/np/RAIwMZ0StXU9DCY1WGoJMwD2NAc30mijCb0FML8TXIB0Y","Relative size of the neocortex"
"http://purl.org/np/RAsuPN3l2lNuO4xsqPr4nknlag7EmFoC0fIBCcRW5FPlE","http://purl.org/np/RAVYczMihUbgryLu1x8xhoqR6LQe4fSoWmF3SCQHfR5xE","obesity with metabolic abnormality"
"http://purl.org/np/RAUXeF_5iWZ56RmTmt6SXBOSMiijeP3UPRyeCFL_RqaeE","http://purl.org/np/RAVYczMihUbgryLu1x8xhoqR6LQe4fSoWmF3SCQHfR5xE","obesity with metabolic abnormality"
"http://purl.org/np/RAbG2CZoBsdl0uBFUKAhCTx-sxLIhi-ISbvi7B8Iw1J5I","http://purl.org/np/RAPVWYH0x-xyDa9PfBcGUFly3m1FNEO43KG9s0uH-y6yo","STX1B mutation"
"http://purl.org/np/RADYA5qeIGi0YSRPwfjnohUVFGFS7Fp2N084dp7PSF_Bw","http://purl.org/np/RAe1_LbgR-F_6h9RufzR4upiYDQSiZz4CjPPkQcWmjHeo","obesity together with metabolic abnormality"
"http://purl.org/np/RAeN6hvVgiln5OR7Emq-hfdCR8MxBkWDwBqANAuR7Aw6k","http://purl.org/np/RAe1_LbgR-F_6h9RufzR4upiYDQSiZz4CjPPkQcWmjHeo","obesity together with metabolic abnormality"
"http://purl.org/np/RA5hmR-nEYfQ2f8NzAh_sYzQI0Ww-ACThjvV5nefCu968","http://purl.org/np/RAftU4grJrKrRdqTA_Q9CqBJ0iA8j_g7ZaXkfJOLmS5pI","obesity together with metabolic abnormality"
"http://purl.org/np/RAuIbF2qIstc7Z-j7qS5brNMv8uBeIgX4hb-0VSU7RQlM","http://purl.org/np/RAftU4grJrKrRdqTA_Q9CqBJ0iA8j_g7ZaXkfJOLmS5pI","obesity together with metabolic abnormality"
"http://purl.org/np/RALrafR_NVF-joUoHIyh8Ew95mNDEQ98tRfncNx5ekfyE","http://purl.org/np/RAftU4grJrKrRdqTA_Q9CqBJ0iA8j_g7ZaXkfJOLmS5pI","obesity together with metabolic abnormality"
