"resp_np","agreement","addressed","resp_text"
"http://purl.org/np/RAwurL5JmcIZBiENsexp_zDDH8NGhI7k7fQj2yN80V5So","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","an exact quote from the article was added"
"http://purl.org/np/RAiEgjKxYheYtjypHZgZlicxQQBLbeu9vDlgkepMeNyaQ","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","changed to the updated format where AND was replaced with and"
"http://purl.org/np/RArEg5-yvMkqyrL1cN55xqhNeydgHqGrJx7sPjCYZ6it8","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","Changed to the suggested doi. Thank you"
"http://purl.org/np/RAowIHvE_cMb3B7VRR_HIP9sM5lnlRGiQDmKqL1cxFAyc","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","Indeed, I misunderstood the quote part. The quote now comes from (the abstract of) the original article"
"http://purl.org/np/RAHmvzdl-80jtSyn18OgVBbeUc07anF7K93Gde6SxbIZw","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","my pleasure!"
"http://purl.org/np/RAgtFSptHE2etPKoMZOzJ9pzSPmUOGFj_KTBAtTCGEWA0","https://w3id.org/linkflows/reviews/PartialAgreementComment","https://w3id.org/linkflows/reviews/PointNotAddressedComment","Thank you for your review! While we agree that when it comes to legal issues a more concrete language should be used, our formalisation is of a statement which expresses an opinion rather than a legal fact. Licenses with a non-commercial clause do not inhibit reuse of biodiversity data because of legal reasons but as a consequence of the difficulty to reuse data."
"http://purl.org/np/RAAnt1YKH6K7xFZeI_VIkeDQokxZM5mz0Or4y9Mz1o97k","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","Thank you!"
"http://purl.org/np/RA4H1CPJ7YVgwiy9mu9_BTmBKu15gOyQJus8089NdORm0","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","I agree and I changed the provenance using the 'Generated by a formalization activity' template following reviewer's suggestion."
"http://purl.org/np/RAPpZIuYb4Q3jRp8OBSB83dltFyaiiayTylHWc4cEuRIQ","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","An exact quote from the article was added"
"http://purl.org/np/RAxkzPSjaGdzDxaeEuJWK2F4Vfde9gnyq6FK2XMFDwgiA","https://w3id.org/linkflows/reviews/PartialAgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","I changed the context with the more specific class 'genetic disorder' that is stated in the assertion but was not included in the first version, which is 'autosomal recessive disorder' thus declaring the congenital characteristic of this disorder."
"http://purl.org/np/RAzuI8cdzL_4T-hy0evC4PY84kYUXo-VN9e6RvdB2GKgY","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","I adressed the good point made by the reviewer following his suggestion: mint a new class 'dysfunction of ERAD pathway' and then use this class in object position."
"http://purl.org/np/RAi0i2aC9aBOfHFUedbfP8QbbgtYJF_A9E3P2KnZ8MU14","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","We discussed that and agreed to ""universal context"" together with a change of subject and object classes."
"http://purl.org/np/RAPjdJK_mKmROq-jNyi2zby1brrxZ8AomWT8XjTKO6F5I","https://w3id.org/linkflows/reviews/DisagreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","The publication is about overlapping genes in the disease networks of CAKUT and in the vitamin A targets. There is no causality involved."
"http://purl.org/np/RAsxLZMQsm2YlKk8ju48BCvxGbPLmVH8NMXNUAtuYZG0w","https://w3id.org/linkflows/reviews/AgreementComment","https://w3id.org/linkflows/reviews/PointAddressedComment","Changed according to suggestion."
