"review_np","newversion_review_np"
"http://purl.org/np/RA6RJQ5m-nPsy7TccqDC0yc4OvmQRZmW4_i3gen4R9M6s","http://purl.org/np/RAfuhBFBnJCFGtS0U12lFjg7ntVfloITeuxGqe1Z4Jhao"
"http://purl.org/np/RAfuhBFBnJCFGtS0U12lFjg7ntVfloITeuxGqe1Z4Jhao","http://purl.org/np/RAOaHjJf_7NLnsZCok_mm5vARZ8Jn223owehNSoKjG7Oo"
"http://purl.org/np/RAj1G2arQ_zYz7c8P5bQzeOwyt02NC5Ue2rfcxf5k6yOg","http://purl.org/np/RA6gx8VCH_HFRNWV3Vuf1gxmjoECFUqYVgJ3aVapFfHls"
"http://purl.org/np/RA5FlrUsfDenGL9K_VknFw04YrFaoIisEb1ZdHDmX6GtE","http://purl.org/np/RAiVA25Dj5oyJtyGmVIpLd57TeDJcy6kz5Q7P_WbuMOBI"
"http://purl.org/np/RAiwsb06QVM1B9Voz3AxzIaZi_JUgVA_0bwMMPxgYoXkg","http://purl.org/np/RAOQfDNyP0cEiYppEG27gQuAaJpI55sOTmdfCP7JWctfc"
"http://purl.org/np/RAF0I0vcddXt9HW7oCSOCKvESCcrrORSqMVzRBy_qj3Y8","http://purl.org/np/RAfnoWhgpCJFcgNOTQ0QE0cTGdIUPZmsvJfNNAQl9asxw"
"http://purl.org/np/RAWlegnHJ8SBYyruSosJeU-ir7BU7nzINkt-KgDDtcCAM","http://purl.org/np/RAi3F4Zuw82UXdKRaGgjoBWujM1kfHxMVVJFkem1pFHhw"
"http://purl.org/np/RAHd7jG-Bo68xDEZGm7dmd_h2y4d88GZPbdipN770sA-c","http://purl.org/np/RA9liKqSCnL2E1qLfjr0tgw3LYQVjEhns5Noxpmb23nv0"
"http://purl.org/np/RAr4VLVJ09j7EkPwPKW8OxIJGW3my2w_q9Qr8_isYynuw","http://purl.org/np/RAkh8i194_QadxVVIVMWMzfOyXz9D_3gKiUR4mxn-mM8I"
"http://purl.org/np/RAFmdUhujtbu6fOVnxgTVUlqlrPVu1TAma3Ba4fWGw3e0","http://purl.org/np/RARduGmw6u6XKRLA5nJyNp-B1GsIcgJAqW0GW5TkwLiMs"
"http://purl.org/np/RAdIfKGGchuMOzaCmeYuaPKFN4jfq_W7YH7YTBLJE_-1c","http://purl.org/np/RApSKKPqmRuMaLZBWtWN9X-xqWxieDg2VmWq1HySMnD-k"
"http://purl.org/np/RAHzUoVe64B0__SjHxEWo-5jSzzxootr_quip_GGWshW4","http://purl.org/np/RARu0NIs9zVJw6hm-IF2X-FT84wOEvpgLxnfCeBi94s1s"
"http://purl.org/np/RAYNnSH1XvmPcxov174LJdFfPuP3bQT6SLktCZNJm8AP0","http://purl.org/np/RAlfwCE-scqpM-dRmws8nlsgueZLmaq__NIzVW5Rui71M"
"http://purl.org/np/RA6lxb-WY_kXYi0NAxIIus4uO_A8QUKfwbIImynkyhwvA","http://purl.org/np/RAorOLuZlfyIYI0GypT2_X-Z7Ern_E-P5YieLFu-xSB1s"
"http://purl.org/np/RABtdOLT-l2EkmYbzD5OX_FxVYjB0UHMyvUFcMN218E-A","http://purl.org/np/RAIolZf0Ko5Klrr5FWt0Wqr_GrNa2PxyxLhlz8y4eGIUk"
"http://purl.org/np/RA23b3K08ecv45XZJbWHvNfv6e-8w_48X7VW5q7LUyyms","http://purl.org/np/RAaFeW4Bj3Y7DpKTdi8d3XZVF-8rZJS2v7St62NEdOumg"
"http://purl.org/np/RATTYklfFzBbXntIlLTTq7JhQUcg1oWCPhF1ZBWR5G3r8","http://purl.org/np/RAy-yPfCs1qyCgcXIuItdCQ2w5TJMmOSifQ-Tog8yt1N0"
"http://purl.org/np/RAM0AF2wYX0vr9wXf1svfJRL0_PhceAnWVb6VVTXunA7U",
"http://purl.org/np/RAkEKGauZLl4Vs9giLT5aqCJlAIzpD8Iu9MD8kMMgs70s",
"http://purl.org/np/RAZILddOsbnRuIyfpgRsEPSBdwJB6VVZexDnSK5OGfWiY",
"http://purl.org/np/RA6gx8VCH_HFRNWV3Vuf1gxmjoECFUqYVgJ3aVapFfHls",
"http://purl.org/np/RAOaHjJf_7NLnsZCok_mm5vARZ8Jn223owehNSoKjG7Oo",
"http://purl.org/np/RAR3HGoKQM__H3hMyXc-2uHUTHcSoWFmicAu5BynhZRLY",
"http://purl.org/np/RA3bgMLuZraOIlR0MkZATsU_eFtfym5V3kPkGqzXrWykg",
"http://purl.org/np/RAiVA25Dj5oyJtyGmVIpLd57TeDJcy6kz5Q7P_WbuMOBI",
"http://purl.org/np/RAFMU1Z7kxuFhoaqJG7I_W1NnplPYKB7Cm1eEhFeCtvM8",
"http://purl.org/np/RAOQfDNyP0cEiYppEG27gQuAaJpI55sOTmdfCP7JWctfc",
"http://purl.org/np/RAcOHD6Srpn9Fm0pR0OeprCklZYJj4THRcOcHT3Wj0oEE",
"http://purl.org/np/RAQTRlVBNlJZj7PvwVwpt3HBq56n30DbcIWJZeogGEJvs",
"http://purl.org/np/RARw63N4ShSDNoVWjzrGlBDQL145KY5lku9ANh24rRE74",
"http://purl.org/np/RAfnoWhgpCJFcgNOTQ0QE0cTGdIUPZmsvJfNNAQl9asxw",
"http://purl.org/np/RAS1chwiFRQKcwV_D5PeEKo0B1wiqvzfKCwyGRvabebyA",
"http://purl.org/np/RAryFiNK2xO4qdxH4NEz0CVbj0poeY_Vn5NBwHhrKdIOk",
"http://purl.org/np/RA9RcAQhZ9tZvErcz-xEsptVcUx84CnXC1hvEUsp2N2vs",
"http://purl.org/np/RAgOEyseOAaQI6ITOteiHjDMmtRs5xLFEVDFvwkzfTUyE",
"http://purl.org/np/RAx9yefsz4xInPLYTsVs8cL4e99c9f13resjxhoeS8b3Y",
"http://purl.org/np/RAkjk3apcZT3cBU-snbQ2ciW9BpOX_Y25ONOAOjxjOUPU",
"http://purl.org/np/RAZdY-WdpmVRAUyjgdEGhFDG2mD-j8xg1I27hNIQGkltw",
"http://purl.org/np/RA9KmNH-j6YINX5zo0Q-ykj8SfyW0c7HA-IK5qHxuf2gk",
"http://purl.org/np/RA0LO7yFU6d4M6FEzjw-r0Gyuu92B8giyMMKDP-qbvE1c",
"http://purl.org/np/RAi3F4Zuw82UXdKRaGgjoBWujM1kfHxMVVJFkem1pFHhw",
"http://purl.org/np/RAio--7IbPa3_ZSG3GspUsXeWP2ZwMIzy4Kzos0yZ7NIw",
